DNA_code	Lon_X	Lat_Y	Propositus_Assigned_Bishopric	Longitude_F	Latitude_F	Longitude_M	Latitude_M	Longitude_GF_F	Latitude_GF_F	Longitude_GM_F	Latitude_GM_F	Longitude_GF_M	Latitude_GF_M	Longitude_GM_M	Latitude_GM_M
H1	1.807901	42.131904	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.771777	42.160519	1.771777	42.160519
H100	1.765872	42.041683	Solsona	1.842593	42.013714	1.825308	42.07741	1.7354	42.01778	1.7354	42.01778	1.76738	42.05376	1.825308	42.07741
H101	1.844025	42.103289	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289
H102	1.932979	42.082087	Solsona	1.993754	42.13541	1.977026	42.003767	1.993754	42.13541	1.993754	42.13541	1.76738	42.05376	1.977026	42.003767
H103	1.864297	42.162698	Solsona	1.777015	42.233748	1.883623	42.034214	1.736093	42.229318	1.777015	42.233748	1.982413	42.137068	1.961669	42.05066
H104	1.882196	42.103553	Solsona	1.825308	42.07741	1.844025	42.103289	1.825308	42.07741	2.034142	42.156102	1.844025	42.103289	1.825308	42.07741
H106	1.825682	42.10585	Solsona	1.7354	42.01778	1.776592	41.94622	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H107	1.997691	42.14624	Solsona	1.993754	42.13541	1.928727	42.137344	1.993754	42.13541	2.034142	42.156102	1.928727	42.137344	2.034142	42.156102
H111	1.901261	42.047699	Solsona	1.977026	42.003767	1.977026	42.003767	1.825308	42.07741	1.825682	42.10585	1.977026	42.003767	1.977026	42.003767
H121	1.758664	42.008776	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.835147	42.094524	1.51146	41.734003
H123	1.535513	42.126375	Solsona	1.227	42.149461	1.844025	42.103289	1.227	42.149461	1.227	42.149461	1.844025	42.103289	1.844025	42.103289
H126	1.833673	42.107942	Solsona	1.844025	42.103289	1.849575	42.101106	1.865867	42.073024	1.825308	42.07741	1.825308	42.07741	1.818207	42.203923
H128	1.781839	42.24195	Solsona	1.777015	42.233748	1.786663	42.250152	1.777015	42.233748	1.777015	42.233748	1.786663	42.250152	1.786663	42.250152
H129	1.871052	41.998817	Solsona	1.879157	41.974126	1.8833	42.0333	1.879157	41.974126	1.879157	41.974126	1.842593	42.013714	1.8833	42.0333
H13	1.825682	42.10585	Solsona	1.863364	42.25188	2.209401	42.109466	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H130	1.825682	42.10585	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
